1788288597.382	1	ON
1788288601.698	2	ON
1788288604.398	3	ON
1788288608.206	4	OFF
1788288609.751	5	OFF
1788288612.667	6	ON
1788288613.789	7	ON
1788288616.836	8	OFF
1788288620.256	9	ON
1788288621.821	10	OFF
1788288622.631	11	ON
1788288627.564	12	OFF
1788288629.915	13	ON
1788288632.153	14	ON
1788288636.124	15	OFF
1788288636.384	16	OFF
1788288640.368	17	OFF
1788288645.77	18	ON
1788288646.059	19	ON
1788288649.659	20	ON
1788288652.213	21	ON
1788288655.895	22	ON
1788288658.985	23	ON

