1788293507.1	1	-7.4 C
1788293508.1	2	-0.7 C
1788293509.1	3	-12.9 C
1788293510.101	4	-11.8 C
1788293511.101	5	-13.8 C
1788293512.101	6	-3.8 C
1788293513.101	7	-26.2 C
1788293514.102	8	-22.2 C
1788293515.102	9	-9.6 C
1788293516.102	10	-2.1 C
1788293517.103	11	-18.1 C
1788293518.103	12	-21.1 C
1788293519.103	13	-15.9 C
1788293520.103	14	8.1 C
1788293521.104	15	-11.3 C
1788293522.104	16	-10.3 C
1788293523.104	17	-13.5 C
1788293524.105	18	-10.8 C
1788293525.105	19	-21.6 C
1788293526.105	20	-7.6 C
1788293527.105	21	-8.2 C
1788293528.106	22	-17.9 C
1788293529.106	23	-7.0 C
1788293530.106	24	-15.0 C
1788293531.107	25	-22.3 C
1788293532.107	26	-6.2 C
1788293533.107	27	0.7 C
1788293534.108	28	-9.7 C
1788293535.108	29	-9.2 C
1788293536.108	30	-7.8 C
